requirement,excerpt,category,file,page,type,image,classification,compliance
"The proposed augmentation shall be conventional AIS type generally conforming as per the requirement of Technical Specification, CEA (Technical Standards for Construction of Electrical Plants and Electric Lines) Regulations 2010, as amended from time to time including revised regulations released in 2022.","• The proposed augmentation shall be conventional AIS type generally conforming   
as per the requirement of Technical Specification, CEA (Technical Standards for   
Construction of Electrical Plants and Electric Lines) Regulations 2010, as   
amended from time to time including revised regulations released in 2022",TECHNICAL_SPECS,Technical Specification for Substation - Electrical Works.pdf,3,TEXT,None,MANDATORY,YES
The bidder shall include Mandatory Spare Parts and Condition Monitoring Instruments in the bid proposal.,"MANDATORY SPARE  PARTS AND CONDITION MONITORING   
INSTRUMENTS   
   
The Mandatory Spare Parts and Condition Monitoring Instruments  shall be   
included in the bid proposal by the bidder",QUALITY_STANDARDS,Scope of Work.pdf,5,TEXT,None,MANDATORY,YES
"The bid must meet minimum acceptable standards of completeness, consistency, and detail; comply with the time schedule in Appendix-3; have ""Taking Over"" by the Employer after Operational Acceptance within the specified period; and consider any other relevant technical factors deemed necessary or prudent.","The bid that does not meet minimum   
acceptable standards of completeness, consistency and detail will   
be rejected for non-responsiveness",QUALITY_STANDARDS,02 Section - II ITB.pdf,24,TEXT,None,MANDATORY,YES
The contractor shall track all Quality submittals and maintain a register of status to ensure that submittals are provided and approved in a timely manner.,"Contractor shall track all Quality submittals and maintain a register of status to ensure   
that submittals are provided and approved in a timely manner",DOCUMENTATION,QA_001 QA QC Contractual Requirements.pdf,20,TEXT,None,MANDATORY,YES
The Employer will carry out a detailed evaluation of the bids to determine whether the technical aspects are in accordance with the requirements set forth in the Bidding Documents.,"The Employer will carry out a detailed evaluation of the bids of the   
qualified bidders in order to determine whether the technical aspects are   
in accordance with the requirements set forth in the Bidding Documents",TECHNICAL_SPECS,02 Section - II ITB.pdf,24,TEXT,None,MANDATORY,YES
"The Contractor shall not be responsible for design, data, drawing, specification or other document, or any modification thereof provided or designated by or on behalf of the Employer.","The Contractor shall be entitled to disclaim responsibility for any   
design, data, drawing, specification or other document, or any   
modification thereof provided or designated by or on behalf of the   
Employer, by giving a notice of such disclaimer to the Project Manager",QUALITY_STANDARDS,04- Section - IV GCC.pdf,33,TEXT,None,MANDATORY,UNKNOWN
"The Bidder shall complete, sign and submit with its Bid, the relevant FORMS to be used unamended, in accordance with the requirements included in the Bidding Documents.","The Bidder shall complete, sign  and submit with its Bid, the relevant FORMS to be used   
unamended, in accordance with the requirements included in the Bidding Documents",DOCUMENTATION,06-Section - VI Forms and Procedures.pdf,1,TEXT,None,MANDATORY,YES
The contractor shall develop thorough understanding about statutory regulations.,"5.1 Indian statutory requirements   
Contractor shall develop thorough understanding about the statutory regulations, (mentioned   
below) not only to satisfy the regulatory body perspective but to use legislation as the strongest   
tool for effective implementati on of OHS management at work sites",QUALITY_STANDARDS,HSE Code of Conduct for Contracts.pdf,6,TEXT,None,MANDATORY,UNKNOWN
"The contractor shall provide Performance Security(ies) and Advance Bank Guarantee, according to one of the forms indicated herein or in another form acceptable to the Employer.","required to provide the Performance Security(ies) and Advance Bank Guarantee, according   
to one of the forms i ndicated herein or in another form acceptable to the Employer and   
pursuant to the provisions of the General and Special Conditions of Contract, respectively",DOCUMENTATION,06-Section - VI Forms and Procedures.pdf,1,TEXT,None,MANDATORY,YES
"The contractor shall complete Article 1.1 (Contract Documents), as appropriate and as may be required to suit the specific requirement of the Contract.","except for the need to complete Article 1.1 (Contract Documents), as appropriate and as may   
be required to suit the specific requirement of the Contract",DOCUMENTATION,06-Section - VI Forms and Procedures.pdf,1,TEXT,None,MANDATORY,YES
"Contractor shall perform construction activities as per approved Field Quality Plan, Quality Assurance Plans, drawing, Indian/International Standard, SOPs, and industry construction practice to ensure First Time Right Work with highest level of quality.","Construction Quality Contractual Requirements   
   
Contractor shall perform the construction activities defined in scope as per the   
approved Field Quality Plan, Quality Assurance Plans, drawing, Indian / International   
Standard, SOPs, and industry construction practice to ensure First Time Right Work   
with highest level of quality",QUALITY_STANDARDS,QA_001 QA QC Contractual Requirements.pdf,8,TEXT,None,MANDATORY,YES
The contractor shall ensure compliance with the Employer's quality manuals and policies during the contract tenure as per scope.,"Contractual requirement :-    
This contract document defines the minimal specific QCQA requirements but not limited   
to, from contractor’s Quality Assurance  /Quality Control",QUALITY_STANDARDS,QA_001 QA QC Contractual Requirements.pdf,4,TEXT,None,MANDATORY,YES
Ensure availability of self-contained breathing apparatus or equivalent and use of all relevant personal protective equipment as per JSA and PTW.,"Confidential and propriety   
• Ensure availability of self-contained breathing apparatus or equivalent and use of all relevant   
personal protective equipment as per JSA and PTW",QUALITY_STANDARDS,HSE Code of Conduct for Contracts.pdf,28,TEXT,None,MANDATORY,YES
